"Gene_symbol"	"   Genes"	"Freq"
"DES"	"desmin"	"55"
"CXCR4"	"C-X-C motif chemokine receptor 4"	"53"
"TF"	"transferrin"	"53"
"BRCA1"	"BRCA1 DNA repair associated"	"51"
"FSHR"	"follicle stimulating hormone receptor"	"50"
"MMP2"	"matrix metallopeptidase 2"	"49"
"MUC1"	"mucin 1, cell surface associated"	"49"
"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"	"46"
"NAT2"	"N-acetyltransferase 2"	"46"
"SI"	"sucrase-isomaltase"	"46"
"WNT4"	"Wnt family member 4"	"46"
"CCL2"	"C-C motif chemokine ligand 2"	"45"
"WT1"	"WT1 transcription factor"	"45"
"SHBG"	"sex hormone binding globulin"	"43"
"HLA-G"	"major histocompatibility complex, class I, G"	"42"
"VEGFA"	"vascular endothelial growth factor A"	"42"
"SIRT1"	"sirtuin 1"	"40"
"TES"	"testin LIM domain protein"	"40"
"CRH"	"corticotropin releasing hormone"	"39"
"HSD17B1"	"hydroxysteroid 17-beta dehydrogenase 1"	"39"
"PC"	"pyruvate carboxylase"	"39"
"ACE"	"angiotensin I converting enzyme"	"38"
"CHM"	"CHM Rab escort protein"	"38"
"GREB1"	"growth regulating estrogen receptor binding 1"	"38"
"GSTP1"	"glutathione S-transferase pi 1"	"38"
"CAT"	"catalase"	"37"
"GC"	"GC vitamin D binding protein"	"37"
"CD34"	"CD34 molecule"	"36"
"EGFR"	"epidermal growth factor receptor"	"36"
"MSC"	"musculin"	"36"
"VIP"	"vasoactive intestinal peptide"	"36"
"BRAF"	"B-Raf proto-oncogene, serine/threonine kinase"	"35"
"BRCA2"	"BRCA2 DNA repair associated"	"35"
"HOXA11"	"homeobox A11"	"34"
"MET"	"MET proto-oncogene, receptor tyrosine kinase"	"34"
"AKR1C1"	"aldo-keto reductase family 1 member C1"	"33"
"AKR1C3"	"aldo-keto reductase family 1 member C3"	"33"
"CD68"	"CD68 molecule"	"33"
"EZH2"	"enhancer of zeste 2 polycomb repressive complex 2 subunit"	"33"
"H19"	"H19 imprinted maternally expressed transcript"	"33"
"MMP3"	"matrix metallopeptidase 3"	"33"
"TIMP1"	"TIMP metallopeptidase inhibitor 1"	"33"
"ZEB1"	"zinc finger E-box binding homeobox 1"	"33"
"DNMT1"	"DNA methyltransferase 1"	"32"
"PAX2"	"paired box 2"	"32"
"EAPP"	"E2F associated phosphoprotein"	"31"
"VDR"	"vitamin D receptor"	"30"
"CTNNB1"	"catenin beta 1"	"29"
"GHRH"	"growth hormone releasing hormone"	"29"
"COMT"	"catechol-O-methyltransferase"	"28"
"CYP3A4"	"cytochrome P450 family 3 subfamily A member 4"	"28"
"F2"	"coagulation factor II, thrombin"	"28"
"KLF11"	"Kruppel like factor 11"	"28"
"PTH"	"parathyroid hormone"	"28"
"TRPM3"	"transient receptor potential cation channel subfamily M member 3"	"28"
"ARNT"	"aryl hydrocarbon receptor nuclear translocator"	"27"
"FGF2"	"fibroblast growth factor 2"	"27"
"TSLP"	"thymic stromal lymphopoietin"	"27"
"CD4"	"CD4 molecule"	"26"
"TCF21"	"transcription factor 21"	"26"
"CYP2C19"	"cytochrome P450 family 2 subfamily C member 19"	"25"
"FCRL3"	"Fc receptor like 3"	"25"
"FGA"	"fibrinogen alpha chain"	"25"
"IL1A"	"interleukin 1 alpha"	"25"
"IL6"	"interleukin 6"	"25"
"VEZT"	"vezatin, adherens junctions transmembrane protein"	"25"
"AQP5"	"aquaporin 5"	"24"
"FOXP3"	"forkhead box P3"	"24"
"IL1R2"	"interleukin 1 receptor type 2"	"24"
"LPA"	"lipoprotein(a)"	"24"
"MPO"	"myeloperoxidase"	"24"
"PTGS2"	"prostaglandin-endoperoxide synthase 2"	"24"
"PTPN22"	"protein tyrosine phosphatase non-receptor type 22"	"24"
"CCR1"	"C-C motif chemokine receptor 1"	"23"
"IDO1"	"indoleamine 2,3-dioxygenase 1"	"23"
"TRH"	"thyrotropin releasing hormone"	"23"
"CDH1"	"cadherin 1"	"22"
"HLA-DRB1"	"major histocompatibility complex, class II, DR beta 1"	"22"
"IGFBP1"	"insulin like growth factor binding protein 1"	"22"
"LSR"	"lipolysis stimulated lipoprotein receptor"	"22"
"CD36"	"CD36 molecule"	"21"
"CHL1"	"cell adhesion molecule L1 like"	"21"
"CXCL8"	"C-X-C motif chemokine ligand 8"	"21"
"DUSP2"	"dual specificity phosphatase 2"	"21"
"FOXO1"	"forkhead box O1"	"21"
"KDR"	"kinase insert domain receptor"	"21"
"KISS1"	"KiSS-1 metastasis suppressor"	"21"
"S100A6"	"S100 calcium binding protein A6"	"21"
"TET2"	"tet methylcytosine dioxygenase 2"	"21"
"AHR"	"aryl hydrocarbon receptor"	"20"
"AQP1"	"aquaporin 1 (Colton blood group)"	"20"
"CD14"	"CD14 molecule"	"20"
"KLF9"	"Kruppel like factor 9"	"20"
"LINC00339"	"long intergenic non-protein coding RNA 339"	"20"
"NOTCH1"	"notch receptor 1"	"20"
"XRCC1"	"X-ray repair cross complementing 1"	"20"
"CD74"	"CD74 molecule"	"19"
"CD200"	"CD200 molecule"	"19"
"CXCR1"	"C-X-C motif chemokine receptor 1"	"19"
"GATA6"	"GATA binding protein 6"	"19"
"LCN2"	"lipocalin 2"	"19"
"MTA1"	"metastasis associated 1"	"19"
"MTHFR"	"methylenetetrahydrofolate reductase"	"19"
"NR5A1"	"nuclear receptor subfamily 5 group A member 1"	"19"
"PPP2R1A"	"protein phosphatase 2 scaffold subunit Aalpha"	"19"
"SPOCK2"	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"	"19"
"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"18"
"DRD2"	"dopamine receptor D2"	"18"
"FKBP4"	"FKBP prolyl isomerase 4"	"18"
"MMP1"	"matrix metallopeptidase 1"	"18"
"MUC4"	"mucin 4, cell surface associated"	"18"
"NLRC5"	"NLR family CARD domain containing 5"	"18"
"TG"	"thyroglobulin"	"18"
"VSIG4"	"V-set and immunoglobulin domain containing 4"	"18"
"AKR1C2"	"aldo-keto reductase family 1 member C2"	"17"
"ANXA2"	"annexin A2"	"17"
"BMP2"	"bone morphogenetic protein 2"	"17"
"CD163"	"CD163 molecule"	"17"
"HIF1A"	"hypoxia inducible factor 1 subunit alpha"	"17"
"HP"	"haptoglobin"	"17"
"HSD3B2"	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"	"17"
"HSD17B2"	"hydroxysteroid 17-beta dehydrogenase 2"	"17"
"KIR2DS5"	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5"	"17"
"PDCD4"	"programmed cell death 4"	"17"
"PFAS"	"phosphoribosylformylglycinamidine synthase"	"17"
"PGRMC2"	"progesterone receptor membrane component 2"	"17"
"TERT"	"telomerase reverse transcriptase"	"17"
"TGFB1"	"transforming growth factor beta 1"	"17"
"UCA1"	"urothelial cancer associated 1"	"17"
"USF2"	"upstream transcription factor 2, c-fos interacting"	"17"
"XRCC4"	"X-ray repair cross complementing 4"	"17"
"CDC42"	"cell division cycle 42"	"16"
"CIC"	"capicua transcriptional repressor"	"16"
"CISH"	"cytokine inducible SH2 containing protein"	"16"
"FOXL2"	"forkhead box L2"	"16"
"GATA3"	"GATA binding protein 3"	"16"
"LIMK1"	"LIM domain kinase 1"	"16"
"MDM2"	"MDM2 proto-oncogene"	"16"
"SDC1"	"syndecan 1"	"16"
"TWIST1"	"twist family bHLH transcription factor 1"	"16"
"CHL1-AS1"	"CHL1 antisense RNA 1"	"15"
"CRHR1"	"corticotropin releasing hormone receptor 1"	"15"
"CYP17A1"	"cytochrome P450 family 17 subfamily A member 1"	"15"
"DNMT3B"	"DNA methyltransferase 3 beta"	"15"
"HMGB1"	"high mobility group box 1"	"15"
"ILK"	"integrin linked kinase"	"15"
"ITGB3"	"integrin subunit beta 3"	"15"
"LINC01541"	"long intergenic non-protein coding RNA 1541"	"15"
"MUC16"	"mucin 16, cell surface associated"	"15"
"NANOG"	"Nanog homeobox"	"15"
"PGF"	"placental growth factor"	"15"
"PGP"	"phosphoglycolate phosphatase"	"15"
"PRLR"	"prolactin receptor"	"15"
"RELA"	"RELA proto-oncogene, NF-kB subunit"	"15"
"SST"	"somatostatin"	"15"
"TET1"	"tet methylcytosine dioxygenase 1"	"15"
"UCN"	"urocortin"	"15"
"YAP1"	"Yes1 associated transcriptional regulator"	"15"
"ADRB2"	"adrenoceptor beta 2"	"14"
"AKT1"	"AKT serine/threonine kinase 1"	"14"
"APEX1"	"apurinic/apyrimidinic endodeoxyribonuclease 1"	"14"
"CFL1"	"cofilin 1"	"14"
"CXCR2"	"C-X-C motif chemokine receptor 2"	"14"
"CXCR3"	"C-X-C motif chemokine receptor 3"	"14"
"ENG"	"endoglin"	"14"
"ESD"	"esterase D"	"14"
"FOXP1"	"forkhead box P1"	"14"
"FSHB"	"follicle stimulating hormone subunit beta"	"14"
"IL10"	"interleukin 10"	"14"
"IMPACT"	"impact RWD domain protein"	"14"
"KISS1R"	"KISS1 receptor"	"14"
"MLH1"	"mutL homolog 1"	"14"
"NR4A1"	"nuclear receptor subfamily 4 group A member 1"	"14"
"POR"	"cytochrome p450 oxidoreductase"	"14"
"SET"	"SET nuclear proto-oncogene"	"14"
"SOD2"	"superoxide dismutase 2"	"14"
"TFPI2"	"tissue factor pathway inhibitor 2"	"14"
"TLR2"	"toll like receptor 2"	"14"
"TRPA1"	"transient receptor potential cation channel subfamily A member 1"	"14"
"USP10"	"ubiquitin specific peptidase 10"	"14"
"BCL6"	"BCL6 transcription repressor"	"13"
"BID"	"BH3 interacting domain death agonist"	"13"
"CCL20"	"C-C motif chemokine ligand 20"	"13"
"CCR2"	"C-C motif chemokine receptor 2"	"13"
"CCR5"	"C-C motif chemokine receptor 5"	"13"
"EMX2"	"empty spiracles homeobox 2"	"13"
"FGFR2"	"fibroblast growth factor receptor 2"	"13"
"FN1"	"fibronectin 1"	"13"
"GLI1"	"GLI family zinc finger 1"	"13"
"IGFBP7"	"insulin like growth factor binding protein 7"	"13"
"IL15"	"interleukin 15"	"13"
"LIFR"	"LIF receptor subunit alpha"	"13"
"LOX"	"lysyl oxidase"	"13"
"MIB1"	"MIB E3 ubiquitin protein ligase 1"	"13"
"MYC"	"MYC proto-oncogene, bHLH transcription factor"	"13"
"RUNX3"	"RUNX family transcription factor 3"	"13"
"SF1"	"splicing factor 1"	"13"
"SGK1"	"serum/glucocorticoid regulated kinase 1"	"13"
"STAT1"	"signal transducer and activator of transcription 1"	"13"
"AMHR2"	"anti-Mullerian hormone receptor type 2"	"12"
"AQP2"	"aquaporin 2"	"12"
"BMPR1B"	"bone morphogenetic protein receptor type 1B"	"12"
"CCL5"	"C-C motif chemokine ligand 5"	"12"
"CCL17"	"C-C motif chemokine ligand 17"	"12"
"CD69"	"CD69 molecule"	"12"
"CFTR"	"CF transmembrane conductance regulator"	"12"
"CLU"	"clusterin"	"12"
"CYP1A2"	"cytochrome P450 family 1 subfamily A member 2"	"12"
"DCN"	"decorin"	"12"
"DNMT3A"	"DNA methyltransferase 3 alpha"	"12"
"IFNG"	"interferon gamma"	"12"
"IGF1"	"insulin like growth factor 1"	"12"
"NLRP3"	"NLR family pyrin domain containing 3"	"12"
"NPY"	"neuropeptide Y"	"12"
"NRAS"	"NRAS proto-oncogene, GTPase"	"12"
"PON1"	"paraoxonase 1"	"12"
"SLC22A23"	"solute carrier family 22 member 23"	"12"
"SLN"	"sarcolipin"	"12"
"SLPI"	"secretory leukocyte peptidase inhibitor"	"12"
"SMAD4"	"SMAD family member 4"	"12"
"SOX2"	"SRY-box transcription factor 2"	"12"
"BIRC5"	"baculoviral IAP repeat containing 5"	"11"
"CCL11"	"C-C motif chemokine ligand 11"	"11"
"CHL1-AS2"	"CHL1 antisense RNA 2"	"11"
"FABP4"	"fatty acid binding protein 4"	"11"
"FAS"	"Fas cell surface death receptor"	"11"
"FOS"	"Fos proto-oncogene, AP-1 transcription factor subunit"	"11"
"GALT"	"galactose-1-phosphate uridylyltransferase"	"11"
"GDNF"	"glial cell derived neurotrophic factor"	"11"
"GREM1"	"gremlin 1, DAN family BMP antagonist"	"11"
"HBD"	"hemoglobin subunit delta"	"11"
"HLA-A"	"major histocompatibility complex, class I, A"	"11"
"ID2"	"inhibitor of DNA binding 2"	"11"
"IFITM1"	"interferon induced transmembrane protein 1"	"11"
"LINC00261"	"long intergenic non-protein coding RNA 261"	"11"
"NME1"	"NME/NM23 nucleoside diphosphate kinase 1"	"11"
"NQO1"	"NAD(P)H quinone dehydrogenase 1"	"11"
"NTRK2"	"neurotrophic receptor tyrosine kinase 2"	"11"
"PELP1"	"proline, glutamate and leucine rich protein 1"	"11"
"PLA2G2A"	"phospholipase A2 group IIA"	"11"
"SFRP2"	"secreted frizzled related protein 2"	"11"
"SOX9"	"SRY-box transcription factor 9"	"11"
"SRC"	"SRC proto-oncogene, non-receptor tyrosine kinase"	"11"
"TIMP2"	"TIMP metallopeptidase inhibitor 2"	"11"
"ZEB2"	"zinc finger E-box binding homeobox 2"	"11"
"ACTN4"	"actinin alpha 4"	"10"
"AFP"	"alpha fetoprotein"	"10"
"AGTR1"	"angiotensin II receptor type 1"	"10"
"AHSG"	"alpha 2-HS glycoprotein"	"10"
"ANGPT2"	"angiopoietin 2"	"10"
"BCAR3"	"BCAR3 adaptor protein, NSP family member"	"10"
"BSG"	"basigin (Ok blood group)"	"10"
"CCN2"	"cellular communication network factor 2"	"10"
"CD82"	"CD82 molecule"	"10"
"CDKN2B-AS1"	"CDKN2B antisense RNA 1"	"10"
"CDX2"	"caudal type homeobox 2"	"10"
"CRABP2"	"cellular retinoic acid binding protein 2"	"10"
"CREB1"	"cAMP responsive element binding protein 1"	"10"
"CRISPLD2"	"cysteine rich secretory protein LCCL domain containing 2"	"10"
"CXCL1"	"C-X-C motif chemokine ligand 1"	"10"
"CXCL10"	"C-X-C motif chemokine ligand 10"	"10"
"DBP"	"D-box binding PAR bZIP transcription factor"	"10"
"EPO"	"erythropoietin"	"10"
"FTX"	"FTX transcript, XIST regulator"	"10"
"GPC3"	"glypican 3"	"10"
"HAS2"	"hyaluronan synthase 2"	"10"
"ITGAV"	"integrin subunit alpha V"	"10"
"LPO"	"lactoperoxidase"	"10"
"MB"	"myoglobin"	"10"
"NGFR"	"nerve growth factor receptor"	"10"
"PROK1"	"prokineticin 1"	"10"
"PTX3"	"pentraxin 3"	"10"
"TH"	"tyrosine hydroxylase"	"10"
"TNS1"	"tensin 1"	"10"
"TRIM65"	"tripartite motif containing 65"	"10"
"YWHAZ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"	"10"
"ACTA2"	"actin alpha 2, smooth muscle"	"9"
"ARX"	"aristaless related homeobox"	"9"
"AXIN1"	"axin 1"	"9"
"CCN1"	"cellular communication network factor 1"	"9"
"CD40"	"CD40 molecule"	"9"
"CRHR2"	"corticotropin releasing hormone receptor 2"	"9"
"CXCL16"	"C-X-C motif chemokine ligand 16"	"9"
"DICER1"	"dicer 1, ribonuclease III"	"9"
"DNMT3L"	"DNA methyltransferase 3 like"	"9"
"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"	"9"
"HMGCR"	"3-hydroxy-3-methylglutaryl-CoA reductase"	"9"
"HOXB4"	"homeobox B4"	"9"
"ID1"	"inhibitor of DNA binding 1, HLH protein"	"9"
"IL1B"	"interleukin 1 beta"	"9"
"LYN"	"LYN proto-oncogene, Src family tyrosine kinase"	"9"
"MSH6"	"mutS homolog 6"	"9"
"MUC2"	"mucin 2, oligomeric mucus/gel-forming"	"9"
"NFKBIA"	"NFKB inhibitor alpha"	"9"
"NNT"	"nicotinamide nucleotide transhydrogenase"	"9"
"PDK1"	"pyruvate dehydrogenase kinase 1"	"9"
"S100A7"	"S100 calcium binding protein A7"	"9"
"SCT"	"secretin"	"9"
"SNCG"	"synuclein gamma"	"9"
"SOX15"	"SRY-box transcription factor 15"	"9"
"STRA6"	"signaling receptor and transporter of retinol STRA6"	"9"
"TIMP3"	"TIMP metallopeptidase inhibitor 3"	"9"
"TRADD"	"TNFRSF1A associated via death domain"	"9"
"TRIM24"	"tripartite motif containing 24"	"9"
"XIAP"	"X-linked inhibitor of apoptosis"	"9"
"ADAM17"	"ADAM metallopeptidase domain 17"	"8"
"ADM"	"adrenomedullin"	"8"
"AKR1B1"	"aldo-keto reductase family 1 member B"	"8"
"APP"	"amyloid beta precursor protein"	"8"
"APPL1"	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"	"8"
"BAX"	"BCL2 associated X, apoptosis regulator"	"8"
"BECN1"	"beclin 1"	"8"
"BTG1"	"BTG anti-proliferation factor 1"	"8"
"CCDC144NL-AS1"	"CCDC144NL antisense RNA 1"	"8"
"CCND1"	"cyclin D1"	"8"
"CTHRC1"	"collagen triple helix repeat containing 1"	"8"
"DCC"	"DCC netrin 1 receptor"	"8"
"EPHA3"	"EPH receptor A3"	"8"
"FEN1"	"flap structure-specific endonuclease 1"	"8"
"FGFR1"	"fibroblast growth factor receptor 1"	"8"
"FJX1"	"four-jointed box kinase 1"	"8"
"FOXD3"	"forkhead box D3"	"8"
"GCLC"	"glutamate-cysteine ligase catalytic subunit"	"8"
"HDAC3"	"histone deacetylase 3"	"8"
"HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 1"	"8"
"HMGA1"	"high mobility group AT-hook 1"	"8"
"HMGA2"	"high mobility group AT-hook 2"	"8"
"IPO13"	"importin 13"	"8"
"MAS1"	"MAS1 proto-oncogene, G protein-coupled receptor"	"8"
"MSH2"	"mutS homolog 2"	"8"
"NFKB1"	"nuclear factor kappa B subunit 1"	"8"
"PDGFB"	"platelet derived growth factor subunit B"	"8"
"PGRMC1"	"progesterone receptor membrane component 1"	"8"
"POLE"	"DNA polymerase epsilon, catalytic subunit"	"8"
"PPM1A"	"protein phosphatase, Mg2+/Mn2+ dependent 1A"	"8"
"RPLP1"	"ribosomal protein lateral stalk subunit P1"	"8"
"S100A4"	"S100 calcium binding protein A4"	"8"
"SNHG4"	"small nucleolar RNA host gene 4"	"8"
"TRERF1"	"transcriptional regulating factor 1"	"8"
"TYK2"	"tyrosine kinase 2"	"8"
"ABCG2"	"ATP binding cassette subfamily G member 2 (Junior blood group)"	"7"
"AFAP1-AS1"	"AFAP1 antisense RNA 1"	"7"
"AQP9"	"aquaporin 9"	"7"
"C2"	"complement C2"	"7"
"CARD11"	"caspase recruitment domain family member 11"	"7"
"CCR9"	"C-C motif chemokine receptor 9"	"7"
"CDK6"	"cyclin dependent kinase 6"	"7"
"CTLA4"	"cytotoxic T-lymphocyte associated protein 4"	"7"
"DAPK1"	"death associated protein kinase 1"	"7"
"EPHB4"	"EPH receptor B4"	"7"
"ERBB2"	"erb-b2 receptor tyrosine kinase 2"	"7"
"FASLG"	"Fas ligand"	"7"
"FKBP5"	"FKBP prolyl isomerase 5"	"7"
"GATA2"	"GATA binding protein 2"	"7"
"HDAC2"	"histone deacetylase 2"	"7"
"HNF1B"	"HNF1 homeobox B"	"7"
"ICAM1"	"intercellular adhesion molecule 1"	"7"
"IL1R1"	"interleukin 1 receptor type 1"	"7"
"L1CAM"	"L1 cell adhesion molecule"	"7"
"MEIS1"	"Meis homeobox 1"	"7"
"MMP7"	"matrix metallopeptidase 7"	"7"
"MYH8"	"myosin heavy chain 8"	"7"
"NCOA1"	"nuclear receptor coactivator 1"	"7"
"NCOA2"	"nuclear receptor coactivator 2"	"7"
"NDRG1"	"N-myc downstream regulated 1"	"7"
"PRX"	"periaxin"	"7"
"RASSF2"	"Ras association domain family member 2"	"7"
"RMI1"	"RecQ mediated genome instability 1"	"7"
"RMI2"	"RecQ mediated genome instability 2"	"7"
"S100A13"	"S100 calcium binding protein A13"	"7"
"SOCS3"	"suppressor of cytokine signaling 3"	"7"
"SOX6"	"SRY-box transcription factor 6"	"7"
"STAT6"	"signal transducer and activator of transcription 6"	"7"
"STC1"	"stanniocalcin 1"	"7"
"STIP1"	"stress induced phosphoprotein 1"	"7"
"SYP"	"synaptophysin"	"7"
"TLR3"	"toll like receptor 3"	"7"
"TRIM59"	"tripartite motif containing 59"	"7"
"WNT7A"	"Wnt family member 7A"	"7"
"XRCC3"	"X-ray repair cross complementing 3"	"7"
"A2M"	"alpha-2-macroglobulin"	"6"
"ACP1"	"acid phosphatase 1"	"6"
"ADA"	"adenosine deaminase"	"6"
"AKR1B10"	"aldo-keto reductase family 1 member B10"	"6"
"AKT2"	"AKT serine/threonine kinase 2"	"6"
"ALDH2"	"aldehyde dehydrogenase 2 family member"	"6"
"ANG"	"angiogenin"	"6"
"ANGPT1"	"angiopoietin 1"	"6"
"ARL4C"	"ADP ribosylation factor like GTPase 4C"	"6"
"ATM"	"ATM serine/threonine kinase"	"6"
"BCL2"	"BCL2 apoptosis regulator"	"6"
"CCL8"	"C-C motif chemokine ligand 8"	"6"
"CCL19"	"C-C motif chemokine ligand 19"	"6"
"CCL21"	"C-C motif chemokine ligand 21"	"6"
"CCNE1"	"cyclin E1"	"6"
"CPM"	"carboxypeptidase M"	"6"
"CPO"	"carboxypeptidase O"	"6"
"CREB3L1"	"cAMP responsive element binding protein 3 like 1"	"6"
"CXCR6"	"C-X-C motif chemokine receptor 6"	"6"
"CYP2E1"	"cytochrome P450 family 2 subfamily E member 1"	"6"
"DDX4"	"DEAD-box helicase 4"	"6"
"DHH"	"desert hedgehog signaling molecule"	"6"
"DLX5"	"distal-less homeobox 5"	"6"
"DUSP6"	"dual specificity phosphatase 6"	"6"
"EGR1"	"early growth response 1"	"6"
"GAB2"	"GRB2 associated binding protein 2"	"6"
"GPT"	"glutamic--pyruvic transaminase"	"6"
"GPX4"	"glutathione peroxidase 4"	"6"
"HAND2"	"heart and neural crest derivatives expressed 2"	"6"
"HES1"	"hes family bHLH transcription factor 1"	"6"
"HOTAIR"	"HOX transcript antisense RNA"	"6"
"HOXC8"	"homeobox C8"	"6"
"IGF2"	"insulin like growth factor 2"	"6"
"ILKAP"	"ILK associated serine/threonine phosphatase"	"6"
"IMP3"	"IMP U3 small nucleolar ribonucleoprotein 3"	"6"
"INHA"	"inhibin subunit alpha"	"6"
"ITGB1"	"integrin subunit beta 1"	"6"
"ITPR1"	"inositol 1,4,5-trisphosphate receptor type 1"	"6"
"JAG1"	"jagged canonical Notch ligand 1"	"6"
"JAZF1"	"JAZF zinc finger 1"	"6"
"JUNB"	"JunB proto-oncogene, AP-1 transcription factor subunit"	"6"
"LBP"	"lipopolysaccharide binding protein"	"6"
"LCAT"	"lecithin-cholesterol acyltransferase"	"6"
"MAT2A"	"methionine adenosyltransferase 2A"	"6"
"MUC5AC"	"mucin 5AC, oligomeric mucus/gel-forming"	"6"
"NAT1"	"N-acetyltransferase 1"	"6"
"OVGP1"	"oviductal glycoprotein 1"	"6"
"PCAT1"	"prostate cancer associated transcript 1"	"6"
"PIGF"	"phosphatidylinositol glycan anchor biosynthesis class F"	"6"
"PMS2"	"PMS1 homolog 2, mismatch repair system component"	"6"
"PRDX4"	"peroxiredoxin 4"	"6"
"PTN"	"pleiotrophin"	"6"
"RAC1"	"Rac family small GTPase 1"	"6"
"RERG"	"RAS like estrogen regulated growth inhibitor"	"6"
"ROCK1"	"Rho associated coiled-coil containing protein kinase 1"	"6"
"SDC4"	"syndecan 4"	"6"
"SGPL1"	"sphingosine-1-phosphate lyase 1"	"6"
"SIRT3"	"sirtuin 3"	"6"
"SMAD3"	"SMAD family member 3"	"6"
"SRD5A1"	"steroid 5 alpha-reductase 1"	"6"
"STAT4"	"signal transducer and activator of transcription 4"	"6"
"SULT1E1"	"sulfotransferase family 1E member 1"	"6"
"TBP"	"TATA-box binding protein"	"6"
"TET3"	"tet methylcytosine dioxygenase 3"	"6"
"TFF3"	"trefoil factor 3"	"6"
"TGFBR1"	"transforming growth factor beta receptor 1"	"6"
"VHL"	"von Hippel-Lindau tumor suppressor"	"6"
"ZP4"	"zona pellucida glycoprotein 4"	"6"
"AGT"	"angiotensinogen"	"5"
"AHRR"	"aryl-hydrocarbon receptor repressor"	"5"
"ANTXR2"	"ANTXR cell adhesion molecule 2"	"5"
"ANXA1"	"annexin A1"	"5"
"ATF3"	"activating transcription factor 3"	"5"
"C6"	"complement C6"	"5"
"CALD1"	"caldesmon 1"	"5"
"CARD10"	"caspase recruitment domain family member 10"	"5"
"CBS"	"cystathionine beta-synthase"	"5"
"CCL16"	"C-C motif chemokine ligand 16"	"5"
"CCR4"	"C-C motif chemokine receptor 4"	"5"
"CD24"	"CD24 molecule"	"5"
"CD58"	"CD58 molecule"	"5"
"CD63"	"CD63 molecule"	"5"
"CD86"	"CD86 molecule"	"5"
"CLDN4"	"claudin 4"	"5"
"CNTF"	"ciliary neurotrophic factor"	"5"
"CSF3"	"colony stimulating factor 3"	"5"
"CTCF"	"CCCTC-binding factor"	"5"
"CX3CR1"	"C-X3-C motif chemokine receptor 1"	"5"
"DDT"	"D-dopachrome tautomerase"	"5"
"DKK1"	"dickkopf WNT signaling pathway inhibitor 1"	"5"
"DROSHA"	"drosha ribonuclease III"	"5"
"EFS"	"embryonal Fyn-associated substrate"	"5"
"ENPP1"	"ectonucleotide pyrophosphatase/phosphodiesterase 1"	"5"
"F8"	"coagulation factor VIII"	"5"
"FABP5"	"fatty acid binding protein 5"	"5"
"FMO3"	"flavin containing dimethylaniline monoxygenase 3"	"5"
"FOXM1"	"forkhead box M1"	"5"
